Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,1219.000000,1224.000000,1205.000000,1209.900024,1177.812134,627060
2018-05-09,1197.599976,1229.099976,1197.599976,1222.550049,1190.126587,729538
2018-05-10,1232.000000,1238.000000,1207.500000,1217.699951,1185.405029,1904962
2018-05-11,1237.000000,1291.900024,1229.849976,1286.449951,1252.331787,4723019
2018-05-14,1285.000000,1305.000000,1268.599976,1297.349976,1262.942749,1553283
2018-05-15,1291.000000,1323.449951,1288.800049,1314.650024,1279.784058,1368261
2018-05-16,1305.150024,1332.000000,1300.849976,1323.699951,1288.593872,736281
2018-05-17,1313.150024,1330.000000,1303.550049,1309.449951,1274.721802,751423
2018-05-18,1305.000000,1316.400024,1287.599976,1308.349976,1273.651123,939743
2018-05-21,1305.000000,1314.699951,1290.849976,1301.699951,1267.177490,692442
2018-05-22,1298.000000,1302.000000,1279.000000,1286.849976,1252.721313,708573
2018-05-23,1281.000000,1292.150024,1269.599976,1278.599976,1244.689819,509522
2018-05-24,1277.099976,1302.900024,1263.000000,1293.599976,1259.292358,774173
2018-05-25,1300.000000,1310.000000,1280.000000,1292.349976,1258.075439,773652
2018-05-28,1294.500000,1331.900024,1291.550049,1321.849976,1286.792969,657272
2018-05-29,1326.000000,1330.000000,1289.000000,1299.500000,1265.035889,769331
2018-05-30,1290.000000,1300.949951,1283.349976,1293.849976,1259.535767,478025
2018-05-31,1300.199951,1311.699951,1287.000000,1304.650024,1270.049194,1400776
2018-06-01,1307.000000,1310.000000,1290.800049,1293.050049,1258.756836,368820
2018-06-04,1295.000000,1297.500000,1265.000000,1284.449951,1250.384766,939794
2018-06-05,1276.250000,1293.300049,1270.550049,1273.599976,1239.822754,524237
2018-06-06,1270.900024,1270.900024,1245.050049,1262.800049,1229.309204,1211557
2018-06-07,1270.150024,1297.000000,1256.000000,1290.800049,1256.566406,701247
2018-06-08,1275.000000,1288.550049,1272.000000,1278.849976,1244.933472,442333
2018-06-11,1279.000000,1295.900024,1275.199951,1283.300049,1249.265503,373098
2018-06-12,1278.550049,1292.000000,1275.199951,1287.699951,1253.548584,401090
2018-06-13,1290.000000,1292.750000,1281.949951,1286.400024,1252.283325,566241
2018-06-14,1280.449951,1289.650024,1270.000000,1286.099976,1257.907104,507824
2018-06-15,1284.900024,1286.650024,1268.099976,1282.199951,1254.092529,1048699
2018-06-18,1289.400024,1289.650024,1271.000000,1282.050049,1253.946045,512049
2018-06-19,1273.000000,1287.650024,1265.000000,1269.199951,1241.377686,572488
2018-06-20,1275.000000,1275.000000,1260.000000,1271.300049,1243.431641,484907
2018-06-21,1272.000000,1279.900024,1246.000000,1253.000000,1225.532715,1179247
2018-06-22,1261.500000,1273.550049,1240.199951,1267.699951,1239.910522,646452
2018-06-25,1268.000000,1272.099976,1249.300049,1253.449951,1225.973022,936253
2018-06-26,1255.000000,1279.849976,1253.000000,1274.599976,1246.659302,1262632
2018-06-27,1279.150024,1285.000000,1263.000000,1267.150024,1239.372803,857951
2018-06-28,1267.150024,1273.449951,1250.000000,1268.400024,1240.595215,729637
2018-06-29,1268.250000,1271.099976,1252.150024,1264.449951,1236.731812,622680
